seed,group_id,positives
42,G18,5
42,G32,4
42,G41,4
42,G42,2
42,G52,4
42,G55,4
42,G77,3
101,G19,3
101,G21,2
101,G46,4
101,G47,4
101,G50,1
101,G64,1
101,G68,1
101,G76,4
101,G9,4
202,G17,4
202,G38,4
202,G40,8
202,G51,3
202,G60,4
303,G26,4
303,G28,1
303,G47,2
303,G76,4
404,G10,4
505,G14,4
505,G43,3
505,G50,4
505,G76,4
606,G22,1
606,G23,4
606,G28,4
606,G43,4
606,G69,8
707,G13,4
707,G27,3
707,G4,4
707,G59,3
707,G79,6
707,G80,3
808,G16,4
909,G2,4
909,G23,5
909,G24,2
909,G38,4
909,G60,3
909,G69,3
909,G72,4
909,G74,2
909,G80,4
1201,G23,1
1201,G4,4
1201,G55,4
1201,G61,10
1201,G66,2
1302,G10,4
1302,G33,8
1302,G37,4
1302,G63,5
1302,G65,4
1302,G7,2
1302,G79,1
1403,G24,4
1403,G25,1
1403,G61,4
1504,G12,6
1504,G25,4
1504,G3,4
1504,G41,4
1504,G43,4
1504,G45,4
1504,G54,4
1504,G6,4
1504,G9,4
1605,G24,1
1605,G35,4
1605,G40,4
1605,G63,4
1605,G67,4
1605,G73,3
1706,G2,4
1706,G28,4
1807,G50,1
1807,G57,2
1807,G76,4
1908,G26,3
1908,G39,8
1908,G41,2
1908,G49,4
1908,G5,4
1908,G56,4
1908,G59,4
1908,G71,4
1908,G72,4
2009,G13,4
2009,G36,2
2009,G61,6
2009,G63,2
2110,G2,4
2110,G20,4
2110,G29,4
2110,G4,3
2110,G42,2
2110,G67,8
2110,G7,4
