seed,week_block,positives
42,0,4
42,40,3
42,50,1
42,100,2
42,110,8
42,120,1
42,140,7
101,10,2
101,20,5
101,30,4
101,40,1
101,70,1
101,100,6
101,110,1
101,140,2
101,150,2
202,10,5
202,20,7
202,40,3
202,50,7
202,60,1
303,0,4
303,30,1
303,40,1
303,60,5
404,90,4
505,30,4
505,40,4
505,70,4
505,100,3
606,0,3
606,10,9
606,20,4
606,70,1
606,120,4
707,0,3
707,10,3
707,40,2
707,50,3
707,60,4
707,80,4
707,100,4
808,40,4
909,0,2
909,20,4
909,30,1
909,40,6
909,50,2
909,60,3
909,70,1
909,100,4
909,140,5
909,150,3
1201,0,2
1201,10,1
1201,20,5
1201,30,8
1201,40,2
1201,50,3
1302,40,10
1302,50,4
1302,60,5
1302,90,4
1302,100,1
1302,120,4
1403,70,4
1403,90,2
1403,100,2
1403,130,1
1504,0,4
1504,10,6
1504,20,4
1504,40,4
1504,50,3
1504,60,1
1504,90,3
1504,100,1
1504,110,4
1504,130,8
1605,0,2
1605,10,6
1605,30,4
1605,60,1
1605,70,4
1605,150,3
1706,70,4
1706,140,4
1807,0,1
1807,10,1
1807,20,5
1908,0,2
1908,10,1
1908,50,2
1908,60,6
1908,70,8
1908,80,2
1908,90,7
1908,100,1
1908,120,4
1908,140,4
2009,0,2
2009,20,9
2009,30,3
2110,20,4
2110,30,8
2110,40,2
2110,50,1
2110,60,1
2110,70,4
2110,80,1
2110,100,7
2110,110,1
