seed,n_rows,pv_positives,pv_rate,train_pos,val_pos,test_pos,test_scoreable,unique_pos_borrowers,unique_pos_groups,total_groups,max_pos_in_one_group,share_pos_in_top_group,episode_rows,episode_rows_ge_030,new_stress_events,pv_share_of_new_stress,temporal_gini_10w,weeks_with_any_pos
42,62400,26,0.0004166666666666667,8,9,7,True,8,7,80,5,0.19230769230769232,71,70,108,0.24074074074074073,0.3846153846153846,24
101,62400,24,0.0003846153846153846,13,7,4,True,9,9,80,4,0.16666666666666666,63,62,108,0.2222222222222222,0.35185185185185186,23
202,62400,23,0.0003685897435897436,23,0,0,False,6,5,80,8,0.34782608695652173,104,98,100,0.23,0.27826086956521734,22
303,62400,11,0.0001762820512820513,11,0,0,False,4,4,80,4,0.36363636363636365,39,38,100,0.11,0.34090909090909083,11
404,62400,4,6.41025641025641e-05,0,4,0,False,1,1,80,4,1.0,5,5,96,0.041666666666666664,0.0,4
505,62400,15,0.0002403846153846154,12,3,0,False,4,4,80,4,0.26666666666666666,36,34,108,0.1388888888888889,0.050000000000000044,15
606,62400,21,0.0003365384615384615,17,0,3,True,6,5,80,8,0.38095238095238093,86,83,112,0.1875,0.32380952380952377,18
707,62400,23,0.0003685897435897436,15,4,0,False,7,6,80,6,0.2608695652173913,45,45,108,0.21296296296296297,0.11180124223602483,23
808,62400,4,6.41025641025641e-05,4,0,0,False,1,1,80,4,1.0,22,22,76,0.05263157894736842,0.0,4
909,62400,31,0.0004967948717948718,19,4,8,True,10,9,80,5,0.16129032258064516,75,71,116,0.2672413793103448,0.2870967741935484,30
1201,62400,21,0.0003365384615384615,21,0,0,False,7,5,80,10,0.47619047619047616,73,71,104,0.20192307692307693,0.357142857142857,20
1302,62400,28,0.0004487179487179487,19,5,0,False,9,7,80,8,0.2857142857142857,68,66,120,0.23333333333333334,0.2857142857142856,23
1403,62400,9,0.00014423076923076924,4,4,1,True,3,3,80,4,0.4444444444444444,31,29,96,0.09375,0.25,9
1504,62400,38,0.000608974358974359,22,8,8,True,10,9,80,6,0.15789473684210525,143,139,144,0.2638888888888889,0.2789473684210526,34
1605,62400,20,0.0003205128205128205,17,0,3,True,6,6,80,4,0.2,83,80,116,0.1724137931034483,0.2666666666666666,20
1706,62400,8,0.0001282051282051282,4,0,4,True,2,2,80,4,0.5,21,20,92,0.08695652173913043,0.0,8
1807,62400,7,0.00011217948717948718,7,0,0,False,3,3,80,4,0.5714285714285714,16,15,68,0.10294117647058823,0.38095238095238093,7
1908,62400,37,0.000592948717948718,18,10,4,True,10,9,80,8,0.21621621621621623,110,107,136,0.27205882352941174,0.35945945945945934,35
2009,62400,14,0.00022435897435897436,14,0,0,False,5,4,80,6,0.42857142857142855,43,42,108,0.12962962962962962,0.3333333333333335,11
2110,62400,29,0.00046474358974358973,19,8,0,False,7,7,80,8,0.27586206896551724,75,75,88,0.32954545454545453,0.421455938697318,27
