seed,marginal_rows,episode_rows,marg_mean,marg_median,marg_p90,marg_max,marg_frac_ge_030,marg_frac_ge_080,ep_mean,ep_median,ep_p10,ep_p90,ep_frac_ge_030,ep_frac_ge_080,ep_frac_eq_1,fw_burden_median,cf_burden_median,inc_burden_median,inc_burden_frac_zero,inc_over_fw_median
42,22,71,1.0,1.0,1.0,1.0,1.0,1.0,0.8969873771038029,1.0,0.6331675689115751,1.0,0.9859154929577465,0.7887323943661971,0.6619718309859155,51.53921800066854,0.0,50.3791364006197,0.0,1.0
101,17,63,1.0,1.0,1.0,1.0,1.0,1.0,0.8865651069875842,1.0,0.6285480078579945,1.0,0.9841269841269841,0.8095238095238095,0.5555555555555556,87.82052802241442,0.0,65.14378279106845,0.0,1.0
202,42,104,1.0,1.0,1.0,1.0,1.0,1.0,0.8544647931071488,1.0,0.4494763807776424,1.0,0.9423076923076923,0.75,0.5769230769230769,98.42303019666417,0.0,63.993399458287925,0.0,1.0
303,12,39,1.0,1.0,1.0,1.0,1.0,1.0,0.8895423234418581,1.0,0.6018070775020646,1.0,0.9743589743589743,0.7435897435897436,0.5384615384615384,21.636505096950103,0.0,21.05502745286256,0.0,1.0
404,2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.01860650792321,0.0,115.01860650792321,0.0,1.0
505,13,36,1.0,1.0,1.0,1.0,1.0,1.0,0.8827538298092561,1.0,0.477095043978535,1.0,0.9444444444444444,0.8333333333333334,0.6944444444444444,63.52593575093424,0.0,59.66282635339162,0.0,1.0
606,35,86,1.0,1.0,1.0,1.0,1.0,1.0,0.9018476308980484,1.0,0.6638012603667862,1.0,0.9651162790697675,0.8488372093023255,0.6162790697674418,38.40369793794784,0.0,34.05746097384787,0.0,1.0
707,11,45,1.0,1.0,1.0,1.0,1.0,1.0,0.9498863153352406,1.0,0.7713976121175288,1.0,1.0,0.8666666666666667,0.7111111111111111,97.2376964745707,0.0,90.89511453481543,0.0,1.0
808,8,22,1.0,1.0,1.0,1.0,1.0,1.0,0.8807090778793296,0.9751011388195341,0.6252685554726278,1.0,1.0,0.7272727272727273,0.45454545454545453,79.84869259759124,1.9838952876365,77.69187214050042,0.0,0.9751011388195341
909,25,75,1.0,1.0,1.0,1.0,1.0,1.0,0.8741733083816687,1.0,0.5323838230872662,1.0,0.9466666666666667,0.8133333333333334,0.6133333333333333,67.80581905379071,0.0,65.73446685895215,0.0,1.0
1201,24,73,1.0,1.0,1.0,1.0,1.0,1.0,0.8808845750848837,1.0,0.6532015120505946,1.0,0.9726027397260274,0.7397260273972602,0.5616438356164384,134.42668424196563,0.0,121.341663764224,0.0,1.0
1302,22,68,1.0,1.0,1.0,1.0,1.0,1.0,0.899872149092448,1.0,0.648710892783553,1.0,0.9705882352941176,0.8676470588235294,0.6470588235294118,89.9224251403705,0.0,76.06706336617583,0.0,1.0
1403,9,31,1.0,1.0,1.0,1.0,1.0,1.0,0.8782650042971004,1.0,0.6332711488290229,1.0,0.9354838709677419,0.7741935483870968,0.5161290322580645,110.50559886672444,0.0,97.64074734654052,0.0,1.0
1504,52,143,1.0,1.0,1.0,1.0,1.0,1.0,0.8961492992824298,1.0,0.5920089390613285,1.0,0.972027972027972,0.8461538461538461,0.5664335664335665,90.1757725433431,0.0,80.2321301676927,0.0,1.0
1605,33,83,1.0,1.0,1.0,1.0,1.0,1.0,0.898238426625599,1.0,0.6409989467671813,1.0,0.963855421686747,0.7710843373493976,0.5662650602409639,100.10068332332386,0.0,91.54372520376958,0.0,1.0
1706,8,21,1.0,1.0,1.0,1.0,1.0,1.0,0.9093217882746578,1.0,0.78203011273788,1.0,0.9523809523809523,0.8571428571428571,0.6666666666666666,38.88983044870842,0.0,34.779466506567815,0.0,1.0
1807,7,16,1.0,1.0,1.0,1.0,1.0,1.0,0.9026328675579668,1.0,0.663732132190068,1.0,0.9375,0.875,0.75,110.95673255313096,0.0,104.63785720019855,0.0,1.0
1908,35,110,1.0,1.0,1.0,1.0,1.0,1.0,0.9068610013044388,1.0,0.7191173443446298,1.0,0.9727272727272728,0.8636363636363636,0.5727272727272728,70.66593828509055,0.0,58.01617287338243,0.0,1.0
2009,13,43,1.0,1.0,1.0,1.0,1.0,1.0,0.9296941313338466,1.0,0.8734032418555269,1.0,0.9767441860465116,0.9069767441860465,0.5813953488372093,142.11518020839043,0.0,124.61878207792486,0.0,1.0
2110,31,75,1.0,1.0,1.0,1.0,1.0,1.0,0.9337430139430288,1.0,0.7408309080985307,1.0,1.0,0.8666666666666667,0.72,95.28165184507102,0.0,79.12903355382223,0.0,1.0
