seed,n_pos,n_neg,pos_median,neg_median,pos_mean,neg_mean,rank_auc,ratio_median
42,17,43983,0.00023980704282256117,0.00014140982562657357,0.0005251844383440703,0.00525478420215631,0.5492483058293913,1.6958301289178375
101,20,43980,3.0443430639632067e-05,0.00013295793072792302,0.0027387880984780072,0.005275071522872611,0.390112551159618,0.2289704004338759
202,23,43977,0.00023412318578514322,0.00017690443963408743,0.001367870152397142,0.00520785862348486,0.5674062825330632,1.3234443763503514
303,11,43989,0.00012411360084563136,0.00017191235387810854,0.000600588371472577,0.005599503304155809,0.41194596169703585,0.7219585913740204
404,4,43996,0.0006265958752053175,0.00013674313406156316,0.0006634025623727047,0.0055232443680977945,0.6755642558414401,4.582283999160189
505,15,43985,0.0001547970190234573,0.00010456225367830222,0.000262943499987849,0.004709751906970382,0.5845121442916146,1.4804292522204818
606,17,43983,0.0,0.00021456495280469155,3.3445465573075334e-05,0.00648965600708479,0.15355130525029057,0.0
707,19,43981,7.949001742960401e-05,0.00016218703293798266,0.00025613149848304823,0.0058538422646703,0.3881724045909777,0.4901132722490801
808,4,43996,2.80781371545129e-07,9.386336335832324e-05,2.7314306389854887e-07,0.003674946955130727,0.13288423947631603,0.002991384087455364
909,23,43977,0.00012561172107345632,0.00015562504593559284,0.003195937732902824,0.005668751907888886,0.5166979577269145,0.8071433509837621
1201,21,43979,5.0641755396705215e-06,0.00018373571988341886,0.00041888873606468676,0.006101357059892498,0.4014968182866498,0.02756228099187117
1302,24,43976,0.00027009887204280437,0.00016714432542341872,0.0014902244209674214,0.005934668005542222,0.5870839586744285,1.6159619619665568
1403,8,43992,1.6720416193604309e-06,0.00011975348625491947,0.00021771689366043045,0.004727228400975412,0.39400913802509546,0.013962362780830887
1504,30,43970,3.000797414609259e-06,0.00019273375125768082,0.00037939927485927926,0.006063055280256537,0.41678417102569937,0.015569651890380416
1605,17,43983,0.0,0.00018601184297316087,0.0021506314594423935,0.005757271193313191,0.2927695326135365,0.0
1706,4,43996,0.00014035642082917417,0.00011765896190822923,0.00015219513619716847,0.0038688141371452985,0.517697631602873,1.1929088830364518
1807,7,43993,4.9965373149755554e-05,0.00012525006934522749,0.00030839991282368746,0.004439994946182935,0.47078593672369956,0.3989249140616099
1908,28,43972,0.00011957451390974858,0.00014609909240591274,0.0002729084556924594,0.006248560691991669,0.45529379085392,0.8184480268880118
2009,14,43986,2.2034021968907612e-05,0.00019667928568661939,0.017969482621160264,0.006534833793924443,0.435585023806276,0.11203021147847622
2110,27,43973,0.0003428557985794906,0.00011762001509437843,0.0007320260075557523,0.004144111227790489,0.6227474603523543,2.914944351132609
