experiment_id,seed,spec,model,target,train_weeks,val_weeks,test_weeks,n_features,pos_train,pos_val,pos_test,scoreable,pr_auc_raw,roc_auc_raw,n_unique_raw,pr_auc_cal,roc_auc_cal,n_unique_cal,status
E3|propagation_vulnerability|M0|deterministic|seed42,42,M0,deterministic,propagation_vulnerability,1-78,87-118,127-156,0,8,9,7,True,0.0007221728504776717,0.5408392991149599,116.0,0.0005408795543882613,0.4591607008850401,116.0,ok
E3|propagation_vulnerability|A|lgbm|seed42,42,A,lgbm,propagation_vulnerability,1-78,87-118,127-156,53,8,9,7,True,0.2560130126039737,0.9128837059713404,3.0,0.2542182539682539,0.785505830782242,2.0,ok
E3|propagation_vulnerability|A|logreg|seed42,42,A,logreg,propagation_vulnerability,1-78,87-118,127-156,53,8,9,7,True,0.01697748889174816,0.9499112577575014,12000.0,0.016977488891748157,0.9499112577575014,11941.0,ok
E3|propagation_vulnerability|B|lgbm|seed42,42,B,lgbm,propagation_vulnerability,1-78,87-118,127-156,61,8,9,7,True,0.0005833333333333334,0.4735262236304511,4.0,0.0005833333333333334,0.49920787125823396,2.0,ok
E3|propagation_vulnerability|B|logreg|seed42,42,B,logreg,propagation_vulnerability,1-78,87-118,127-156,61,8,9,7,True,0.023373545782168974,0.9494586127622064,12000.0,0.023373545782168974,0.9494586127622064,11997.0,ok
E3|propagation_vulnerability|C|lgbm|seed42,42,C,lgbm,propagation_vulnerability,1-78,87-118,127-156,62,8,9,7,True,0.0005833333333333334,0.4735262236304511,4.0,0.0005833333333333334,0.49920787125823396,2.0,ok
E3|propagation_vulnerability|C|logreg|seed42,42,C,logreg,propagation_vulnerability,1-78,87-118,127-156,62,8,9,7,True,0.03318744927794439,0.9590356279258139,12000.0,0.03318744927794439,0.9590356279258139,11988.0,ok
E3|propagation_vulnerability|C1|lgbm|seed42,42,C1,lgbm,propagation_vulnerability,1-78,87-118,127-156,66,8,9,7,True,0.0005833333333333334,0.4735262236304511,4.0,0.0005833333333333334,0.49920787125823396,2.0,ok
E3|propagation_vulnerability|C1|logreg|seed42,42,C1,logreg,propagation_vulnerability,1-78,87-118,127-156,66,8,9,7,True,0.02703699302315062,0.9494109659205966,12000.0,0.027036993023150616,0.9494109659205966,11989.0,ok
E3|propagation_vulnerability|C2|lgbm|seed42,42,C2,lgbm,propagation_vulnerability,1-78,87-118,127-156,65,8,9,7,True,0.0005833333333333334,0.4735262236304511,4.0,0.0005833333333333334,0.49920787125823396,2.0,ok
