model,spec,n,mean_delta,median_delta,wins,losses,ties,wilcoxon_p,loo_worst_mean
lgbm,A,9,0.057997909879429356,8.667474007248346e-07,5,0,4,0.0625,0.03331893870552799
lgbm,C,9,-0.001465652184912,0.0,0,2,7,0.5,-0.001648858708026
lgbm,C1,9,0.03958158369160276,0.0,3,2,4,0.4375,0.005104353492133563
lgbm,C2,9,0.03501184068925827,0.0,3,1,5,0.375,0.011652209664304448
lgbm,C3,9,0.037819694750523186,0.0,4,2,3,0.5625,-0.01456766696176785
logreg,A,9,0.10969388425287158,0.0012111116978921008,7,2,0,0.1640625,0.04416100539621695
logreg,C,9,0.05937551142238567,0.0006320462386301996,6,2,1,0.25,0.0016097859563702869
logreg,C1,9,0.055858146521241006,0.0007383922002264999,6,3,0,0.5703125,-0.0005458391622570743
logreg,C2,9,0.0773862659356484,0.007440476190476164,8,1,0,0.01171875,0.023527867689773795
logreg,C3,9,0.06470456163677242,0.007671340920489808,8,1,0,0.0390625,0.038382917913992017
