seed,stratum,n_rows,n_pos,pv_rate,auc_peer_stress,auc_exposure
42,liab_share_low,14520,17,0.0011707988980716253,0.7449371529622675,0.6433962952898183
42,liab_share_high,14520,0,0.0,,
42,group_expo_low,14520,4,0.0002754820936639118,0.20653072471755304,0.20666850372003306
42,group_expo_high,14520,13,0.0008953168044077135,0.7830994055919954,0.47137986436256235
42,peer_stress_low,29508,4,0.00013555645926528398,0.10161334056399132,0.10657876898047722
42,peer_stress_high,14492,13,0.0008970466464256142,0.782679955585543,0.46592146716464694
101,liab_share_low,14520,17,0.0011707988980716253,0.6402265657004027,0.4598115602857015
101,liab_share_high,14520,0,0.0,,
101,group_expo_low,14520,8,0.0005509641873278236,0.7076385060639471,0.5143372726019846
101,group_expo_high,14520,11,0.0007575757575757576,0.7681877706000664,0.33133352965870716
101,peer_stress_low,29524,9,0.0003048367429887549,0.3728217290643176,0.3089991906187061
101,peer_stress_high,14476,11,0.0007598784194528875,0.7674826383433366,0.3232504792131477
202,liab_share_low,14520,21,0.001446280991735537,0.8831282288762115,0.6488263558406326
202,liab_share_high,14520,2,0.0001377410468319559,0.4063920650227304,0.3479818156770905
202,group_expo_low,14520,2,0.0001377410468319559,0.46716145474583276,0.31335239013638244
202,group_expo_high,14520,18,0.0012396694214876034,0.9609096063378232,0.4804011707197475
202,peer_stress_low,29577,5,0.00016905027555194914,0.43937846611659676,0.4644832950087921
202,peer_stress_high,14423,18,0.0012480066560354988,0.9606463805005978,0.4734120097188476
303,liab_share_low,14520,9,0.0006198347107438017,0.532021684698964,0.4615042994203631
303,liab_share_high,14520,1,6.887052341597796e-05,0.3248157586610648,0.2912735036848268
303,group_expo_low,14520,5,0.0003443526170798898,0.35791250430589044,0.35404753703065794
303,group_expo_high,14520,4,0.0002754820936639118,0.9142670157068062,0.5721186966106365
303,peer_stress_low,29746,7,0.00023532575808512068,0.31225711307422194,0.32570025891926424
303,peer_stress_high,14254,4,0.0002806229830223095,0.9126666666666666,0.5657631578947369
404,liab_share_low,14520,4,0.0002754820936639118,0.9733397630201157,0.7455307936070543
404,liab_share_high,14520,0,0.0,,
404,group_expo_low,14520,0,0.0,,
404,group_expo_high,14520,4,0.0002754820936639118,0.8463247451088454,0.48391430146045744
404,peer_stress_low,29614,0,0.0,,
404,peer_stress_high,14386,4,0.00027804810232170165,0.8448929217076901,0.47534244194131553
505,liab_share_low,14520,15,0.0010330578512396695,0.9631575318855568,0.7199747213604504
505,liab_share_high,14520,0,0.0,,
505,group_expo_low,14520,0,0.0,,
505,group_expo_high,14520,15,0.0010330578512396695,0.8578834884522578,0.3468137423876824
505,peer_stress_low,29507,0,0.0,,
505,peer_stress_high,14493,15,0.0010349824052991099,0.8576184555877884,0.33662568494727635
606,liab_share_low,14520,17,0.0011707988980716253,0.3077517430470775,0.21779672359876862
606,liab_share_high,14520,0,0.0,,
606,group_expo_low,14520,13,0.0008953168044077135,0.35146693108366783,0.2545508534341511
606,group_expo_high,14520,3,0.00020661157024793388,0.983215081169204,0.13561112259190375
606,peer_stress_low,29622,14,0.0004726217000877726,0.22635774115104026,0.16299648743582815
606,peer_stress_high,14378,3,0.0002086521073862846,0.9830492753623188,0.12438260869565218
707,liab_share_low,14520,14,0.0009641873278236915,0.7003702901262532,0.5827293139784523
707,liab_share_high,14520,2,0.0001377410468319559,0.06829453092712495,0.06829453092712495
707,group_expo_low,14520,6,0.00041322314049586776,0.20649028524183546,0.2065936337329475
707,group_expo_high,14520,8,0.0005509641873278236,0.841441565600882,0.449696802646086
707,peer_stress_low,29495,11,0.00037294456687574166,0.35363247863247865,0.2772967772967773
707,peer_stress_high,14505,8,0.0005515339538090313,0.8412775056908326,0.4411171276815893
808,liab_share_low,14520,4,0.0002754820936639118,0.5530879718930835,0.16718620832185174
808,liab_share_high,14520,0,0.0,,
808,group_expo_low,14520,0,0.0,,
808,group_expo_high,14520,1,6.887052341597796e-05,0.9658034299882912,0.021385770369860183
808,peer_stress_low,29950,3,0.0001001669449081803,0.55941607951826,0.21113968010151268
808,peer_stress_high,14050,1,7.117437722419929e-05,0.9646594063634423,0.012954658694569009
909,liab_share_low,14520,21,0.001446280991735537,0.8206772880888337,0.625862538959994
909,liab_share_high,14520,0,0.0,,
909,group_expo_low,14520,3,0.00020661157024793388,0.4076485040527198,0.20672315216642556
909,group_expo_high,14520,15,0.0010330578512396695,0.8724416867746754,0.520303343674595
909,peer_stress_low,29498,8,0.00027120482744592855,0.5542323669040352,0.29331553068836896
909,peer_stress_high,14502,15,0.001034340091021928,0.8722831964289823,0.5140608821702216
1201,liab_share_low,14520,16,0.0011019283746556473,0.7866493725868726,0.5175942843353558
1201,liab_share_high,14520,3,0.00020661157024793388,0.14159261555417785,0.14941103533787972
1201,group_expo_low,14520,7,0.00048209366391184575,0.5009892608597218,0.45620182890216654
1201,group_expo_high,14520,11,0.0007575757575757576,0.9578756759127564,0.4285239882455404
1201,peer_stress_low,29501,10,0.000338971560286092,0.3514902851717473,0.28287613170119696
1201,peer_stress_high,14499,11,0.0007586730119318574,0.9578146177400733,0.4207996586516741
1302,liab_share_low,14520,23,0.0015840220385674932,0.9432641236117818,0.7248996044159062
1302,liab_share_high,14520,1,6.887052341597796e-05,0.40267924788208553,0.35394999655623666
1302,group_expo_low,14520,0,0.0,,
1302,group_expo_high,14520,21,0.001446280991735537,0.9185592438230551,0.4085404904771758
1302,peer_stress_low,29490,3,0.0001017293997965412,0.6655305727947909,0.6238003187845491
1302,peer_stress_high,14510,21,0.0014472777394900068,0.9185030351432449,0.39752324423454244
1403,liab_share_low,14520,8,0.0005509641873278236,0.9106084619625138,0.4605154355016538
1403,liab_share_high,14520,0,0.0,,
1403,group_expo_low,14520,0,0.0,,
1403,group_expo_high,14520,8,0.0005509641873278236,0.6779260267364939,0.25100778665931645
1403,peer_stress_low,29487,0,0.0,,
1403,peer_stress_high,14513,8,0.0005512299317852959,0.6777705963460876,0.23760772147535333
1504,liab_share_low,14520,28,0.001928374655647383,0.7594732068924727,0.5193431844170182
1504,liab_share_high,14520,1,6.887052341597796e-05,0.06949514429368414,0.06949514429368414
1504,group_expo_low,14520,6,0.00041322314049586776,0.20649028524183546,0.2065936337329475
1504,group_expo_high,14520,20,0.0013774104683195593,0.8887396551724138,0.39927068965517243
1504,peer_stress_low,29690,10,0.0003368137420006736,0.2828032345013477,0.13974561994609164
1504,peer_stress_high,14310,20,0.001397624039133473,0.8871046186144157,0.3887753673897831
1605,liab_share_low,14520,17,0.0011707988980716253,0.54922510961221,0.3272831990135915
1605,liab_share_high,14520,0,0.0,,
1605,group_expo_low,14520,7,0.00048209366391184575,0.2064700613243299,0.20660786880727625
1605,group_expo_high,14520,7,0.00048209366391184575,0.9362837259206032,0.45449892214861554
1605,peer_stress_low,30355,10,0.00032943501894251357,0.3373537650354259,0.138273191629593
1605,peer_stress_high,13645,7,0.0005130084279956027,0.9321957555569522,0.4404238158087696
1706,liab_share_low,14520,4,0.0002754820936639118,0.9820370625516671,0.6903158583631854
1706,liab_share_high,14520,0,0.0,,
1706,group_expo_low,14520,0,0.0,,
1706,group_expo_high,14520,4,0.0002754820936639118,0.9255304491595481,0.29899765775695786
1706,peer_stress_low,29615,0,0.0,,
1706,peer_stress_high,14385,4,0.00027806743135210286,0.9248313747305472,0.28915756901467216
1807,liab_share_low,14520,6,0.00041322314049586776,0.7128289926967066,0.5990997198107574
1807,liab_share_high,14520,0,0.0,,
1807,group_expo_low,14520,3,0.00020661157024793388,0.426660696654497,0.48062042203393723
1807,group_expo_high,14520,4,0.0002754820936639118,0.9923963213006338,0.48833184072747315
1807,peer_stress_low,29580,3,0.00010141987829614604,0.20959416663849162,0.2867543474095863
1807,peer_stress_high,14420,4,0.00027739251040221914,0.992343576581576,0.4810366953385128
1908,liab_share_low,14520,26,0.001790633608815427,0.8864092303446519,0.6045445860886733
1908,liab_share_high,14520,2,0.0001377410468319559,0.07132525141204023,0.07132525141204023
1908,group_expo_low,14520,3,0.00020661157024793388,0.20655094027691673,0.20665426741062204
1908,group_expo_high,14520,23,0.0015840220385674932,0.8109893801116272,0.304055411764353
1908,peer_stress_low,29520,5,0.00016937669376693767,0.41482974758597324,0.1550567508046756
1908,peer_stress_high,14480,23,0.0015883977900552487,0.8104664206597676,0.28826715507156153
2009,liab_share_low,14520,10,0.0006887052341597796,0.6057684355616816,0.4329290144727774
2009,liab_share_high,14520,2,0.0001377410468319559,0.5307721449235432,0.5297906047664968
2009,group_expo_low,14520,7,0.00048209366391184575,0.5827238633343504,0.43055979368251124
2009,group_expo_high,14520,7,0.00048209366391184575,0.9682058450059553,0.5967753048990561
2009,peer_stress_low,29516,7,0.00023715950670822605,0.2876192735388235,0.23719155899168776
2009,peer_stress_high,14484,7,0.0004832919083126208,0.9681267823838798,0.592249775505975
2110,liab_share_low,14520,27,0.001859504132231405,0.9232234718676449,0.6970619277250064
2110,liab_share_high,14520,0,0.0,,
2110,group_expo_low,14520,0,0.0,,
2110,group_expo_high,14520,24,0.001652892561983471,0.9377270741353937,0.5273638704930096
2110,peer_stress_low,29829,3,0.00010057326762546515,0.6363240126064508,0.3988131160732247
2110,peer_stress_high,14171,24,0.0016935996048267588,0.9361908296222992,0.5200012959166843
