seed,stratum,n_rows,n_pos,auc_peer,auc_expo
42,SELF_peer_stress_high,14492,13,0.782679955585543,0.46592146716464694
42,IND_grp_dpd_pos,4355,12,0.4209455829303861,0.19201396883874433
42,IND_grp_dpd_zero,39645,5,0.5867406659939455,0.4035469223007064
42,IND_grp_shortfall_pos,2040,12,0.3952991452991453,0.217784352399737
42,IND_grp_shortfall_zero,41960,5,0.5587272077225599,0.39010844952925755
42,ALL_rows,44000,17,0.7260365301567049,0.5492483058293913
101,SELF_peer_stress_high,14476,11,0.7674826383433366,0.3232504792131477
101,IND_grp_dpd_pos,3885,11,0.3453559862955836,0.21633735392124653
101,IND_grp_dpd_zero,40115,9,0.5135903743967375,0.3836499941820841
101,IND_grp_shortfall_pos,1810,10,0.2881388888888889,0.21516666666666667
101,IND_grp_shortfall_zero,42190,10,0.5393741109530583,0.43480085348506403
101,ALL_rows,44000,20,0.6205292178262847,0.390112551159618
202,SELF_peer_stress_high,14423,18,0.9606463805005978,0.4734120097188476
202,IND_grp_dpd_pos,4340,20,0.7837962962962963,0.22447916666666667
202,IND_grp_dpd_zero,39660,3,0.4269233678795673,0.5346849232165822
202,IND_grp_shortfall_pos,1805,20,0.6749019607843137,0.26703081232493
202,IND_grp_shortfall_zero,42195,3,0.4018020793831374,0.5145762229806599
202,ALL_rows,44000,23,0.8367501391537672,0.5674062825330632
303,SELF_peer_stress_high,14254,4,0.9126666666666666,0.5657631578947369
303,IND_grp_dpd_pos,4690,6,0.49267008255052663,0.172644463421577
303,IND_grp_dpd_zero,39310,5,0.2964813636941865,0.32335326294364586
303,IND_grp_shortfall_pos,2035,6,0.4210612781337276,0.2010432068342369
303,IND_grp_shortfall_zero,41965,5,0.27798379408960916,0.3130171591992374
303,ALL_rows,44000,11,0.48768700439572704,0.41194596169703585
404,SELF_peer_stress_high,14386,4,0.8448929217076901,0.47534244194131553
404,IND_grp_dpd_pos,5070,4,0.5596624555862614,0.1934711804184761
404,IND_grp_dpd_zero,38930,0,,
404,IND_grp_shortfall_pos,2255,4,0.4368058640604176,0.21490448689471345
404,IND_grp_shortfall_zero,41745,0,,
404,ALL_rows,44000,4,0.9492965269569961,0.6755642558414401
505,SELF_peer_stress_high,14493,15,0.8576184555877884,0.33662568494727635
505,IND_grp_dpd_pos,4235,12,0.8789170415976004,0.1970064724919094
505,IND_grp_dpd_zero,39765,3,0.881872139228409,0.5650453531847828
505,IND_grp_shortfall_pos,1965,12,0.8052568697729988,0.21921402969790066
505,IND_grp_shortfall_zero,42035,3,0.840827623398046,0.545346402740769
505,ALL_rows,44000,15,0.9531340229623735,0.5845121442916146
606,SELF_peer_stress_high,14378,3,0.9830492753623188,0.12438260869565218
606,IND_grp_dpd_pos,5080,10,0.29209072978303746,0.1262524654832347
606,IND_grp_dpd_zero,38920,7,0.23656985730071844,0.16318086867774634
606,IND_grp_shortfall_pos,2310,10,0.29939130434782607,0.14582608695652174
606,IND_grp_shortfall_zero,41690,7,0.22117101524773716,0.16277961896079593
606,ALL_rows,44000,17,0.30097992406156926,0.15355130525029057
707,SELF_peer_stress_high,14505,8,0.8412775056908326,0.4411171276815893
707,IND_grp_dpd_pos,5185,8,0.5555340931041144,0.20103341703689395
707,IND_grp_dpd_zero,38815,11,0.2647419197645978,0.2068671458425092
707,IND_grp_shortfall_pos,2275,8,0.44530216144684603,0.23378914865460962
707,IND_grp_shortfall_zero,41725,11,0.24664381262885363,0.20258295667031342
707,ALL_rows,44000,19,0.5362740369944438,0.3881724045909777
808,SELF_peer_stress_high,14050,1,0.9646594063634423,0.012954658694569009
808,IND_grp_dpd_pos,3035,2,0.4433728981206726,0.1632047477744807
808,IND_grp_dpd_zero,40965,2,0.3988660498498645,0.14776749749774187
808,IND_grp_shortfall_pos,1380,2,0.4228955007256894,0.17906386066763424
808,IND_grp_shortfall_zero,42620,2,0.38354099206907877,0.14979586090384345
808,ALL_rows,44000,4,0.5327643422129285,0.13288423947631603
909,SELF_peer_stress_high,14502,15,0.8722831964289823,0.5140608821702216
909,IND_grp_dpd_pos,4695,17,0.6113660941075875,0.22976133591529815
909,IND_grp_dpd_zero,39305,6,0.4842044326827655,0.26540115524568053
909,IND_grp_shortfall_pos,2255,14,0.5356346018996622,0.23584815452285332
909,IND_grp_shortfall_zero,41745,9,0.6356382978723404,0.4943866739079505
909,ALL_rows,44000,23,0.7540067881333227,0.5166979577269145
1201,SELF_peer_stress_high,14499,11,0.9578146177400733,0.4207996586516741
1201,IND_grp_dpd_pos,4840,13,0.7451514716896942,0.1992000127488008
1201,IND_grp_dpd_zero,39160,8,0.23454421230077646,0.2204676644871271
1201,IND_grp_shortfall_pos,1865,13,0.6745306529323808,0.24588802126599102
1201,IND_grp_shortfall_zero,42135,8,0.218117240724476,0.21725674745412682
1201,ALL_rows,44000,21,0.6287676261072654,0.4014968182866498
1302,SELF_peer_stress_high,14510,21,0.9185030351432449,0.39752324423454244
1302,IND_grp_dpd_pos,5140,21,0.7693280867729002,0.21784853812593605
1302,IND_grp_dpd_zero,38860,3,0.49663724253888186,0.491485875560817
1302,IND_grp_shortfall_pos,2225,20,0.654421768707483,0.25136054421768705
1302,IND_grp_shortfall_zero,41775,4,0.5884644849297359,0.5911756960570731
1302,ALL_rows,44000,24,0.9072870239827785,0.5870839586744285
1403,SELF_peer_stress_high,14513,8,0.6777705963460876,0.23760772147535333
1403,IND_grp_dpd_pos,4275,6,0.5172952291715468,0.1901303974389006
1403,IND_grp_dpd_zero,39725,2,0.844422626689827,0.15784306321274827
