experiment_id,target,regime,model_spec,seed,pr_auc,roc_auc,n_trees,pos_test,n_unique_pred
imbalance|propagation_vulnerability|default|B|seed42,propagation_vulnerability,default,B,42,0.0005833333333333334,0.4735262236304511,1,7,4
imbalance|propagation_vulnerability|default|B+P5_process|seed42,propagation_vulnerability,default,B+P5_process,42,0.0005833333333333334,0.4735262236304511,1,7,4
imbalance|propagation_vulnerability|balanced_weight|B|seed42,propagation_vulnerability,balanced_weight,B,42,0.025198094378643253,0.9096437207418614,24,7,14
imbalance|propagation_vulnerability|balanced_weight|B+P5_process|seed42,propagation_vulnerability,balanced_weight,B+P5_process,42,0.025198094378643253,0.9096437207418614,24,7,14
imbalance|propagation_vulnerability|low_min_child|B|seed42,propagation_vulnerability,low_min_child,B,42,0.0005833333333333334,0.4735262236304511,1,7,4
imbalance|propagation_vulnerability|low_min_child|B+P5_process|seed42,propagation_vulnerability,low_min_child,B+P5_process,42,0.0005833333333333334,0.4735262236304511,1,7,4
imbalance|propagation_vulnerability|balanced+lowmin|B|seed42,propagation_vulnerability,balanced+lowmin,B,42,0.05739285714285714,0.7838739264571,1,7,3
imbalance|propagation_vulnerability|balanced+lowmin|B+P5_process|seed42,propagation_vulnerability,balanced+lowmin,B+P5_process,42,0.05739285714285714,0.7838739264571,1,7,3
imbalance|propagation_vulnerability|default|B|seed101,propagation_vulnerability,default,B,101,0.0003333333333333333,0.4991663887962654,1,4,4
imbalance|propagation_vulnerability|default|B+P5_process|seed101,propagation_vulnerability,default,B+P5_process,101,0.0003333333333333333,0.4991663887962654,1,4,4
imbalance|propagation_vulnerability|balanced_weight|B|seed101,propagation_vulnerability,balanced_weight,B,101,0.0196078431372549,0.9916638879626543,1,4,3
imbalance|propagation_vulnerability|balanced_weight|B+P5_process|seed101,propagation_vulnerability,balanced_weight,B+P5_process,101,0.0196078431372549,0.9916638879626543,1,4,3
imbalance|propagation_vulnerability|low_min_child|B|seed101,propagation_vulnerability,low_min_child,B,101,0.01238390092879257,0.9866622207402468,1,4,3
imbalance|propagation_vulnerability|low_min_child|B+P5_process|seed101,propagation_vulnerability,low_min_child,B+P5_process,101,0.01238390092879257,0.9866622207402468,1,4,3
imbalance|propagation_vulnerability|balanced+lowmin|B|seed101,propagation_vulnerability,balanced+lowmin,B,101,0.001817355747387551,0.9084278092697566,16,4,5
imbalance|propagation_vulnerability|balanced+lowmin|B+P5_process|seed101,propagation_vulnerability,balanced+lowmin,B+P5_process,101,0.012944983818770227,0.9872874291430477,1,4,4
imbalance|propagation_vulnerability|default|B|seed606,propagation_vulnerability,default,B,606,0.027378483972740588,0.9941652079686589,200,3,847
imbalance|propagation_vulnerability|default|B+P5_process|seed606,propagation_vulnerability,default,B+P5_process,606,0.0006942788772915372,0.7011197243755382,200,3,899
imbalance|propagation_vulnerability|balanced_weight|B|seed606,propagation_vulnerability,balanced_weight,B,606,0.027522935779816515,0.995582228890556,102,3,2
imbalance|propagation_vulnerability|balanced_weight|B+P5_process|seed606,propagation_vulnerability,balanced_weight,B+P5_process,606,0.0012135922330097086,0.8970992748187047,110,3,2
imbalance|propagation_vulnerability|low_min_child|B|seed606,propagation_vulnerability,low_min_child,B,606,0.058503401360544216,0.9978050068072574,200,3,1406
