seed,feature,r2_from_B,top_B_corr_feature,top_B_spearman
42,borrower_propagation_exposure,0.9977,peer_predicted_stress_mean,0.8072
42,r_liability_weight,0.7056,principal_remaining,0.0782
42,r_liab_weighted_peer_stress,0.9929,peer_predicted_stress_mean,0.9987
42,r_peer_stress_max,1.0,peer_predicted_stress_mean,0.9994
42,r_peer_stress_count_hi,1.0,expected_peer_debt_burden,0.9918
42,r_peer_stress_hhi,0.9996,peer_predicted_stress_mean,0.9825
42,r_peer_stress_decayed,0.9986,peer_predicted_stress_mean,0.9991
42,r_peer_stress_velocity,0.7788,peer_dpd_mean_4w,0.3971
42,r_buffer_adequacy,0.9996,cash_buffer_mean_12w,0.9727
42,r_dest_vulnerability,0.999,cash_buffer_mean_12w,0.9727
42,r_propagation_process,0.9795,peer_predicted_stress_mean,0.9225
303,borrower_propagation_exposure,0.9997,peer_predicted_stress_mean,0.7962
303,r_liability_weight,0.8557,expected_peer_debt_burden,0.0665
303,r_liab_weighted_peer_stress,0.9832,peer_predicted_stress_mean,0.9986
303,r_peer_stress_max,0.9998,peer_predicted_stress_mean,0.9997
303,r_peer_stress_count_hi,0.9998,expected_peer_debt_burden,0.9922
303,r_peer_stress_hhi,0.9999,peer_predicted_stress_mean,0.9972
303,r_peer_stress_decayed,0.999,peer_predicted_stress_mean,0.9995
303,r_peer_stress_velocity,0.926,peer_dpd_mean_4w,0.4274
303,r_buffer_adequacy,0.9996,cash_buffer_mean_12w,0.9703
303,r_dest_vulnerability,0.9994,cash_buffer_mean_12w,0.9703
303,r_propagation_process,0.9648,peer_predicted_stress_mean,0.9085
606,borrower_propagation_exposure,0.9982,cash_buffer_mean_12w,0.8069
606,r_liability_weight,0.7199,principal_remaining,0.0585
606,r_liab_weighted_peer_stress,0.9879,peer_predicted_stress_mean,0.9983
606,r_peer_stress_max,0.9999,peer_predicted_stress_mean,0.9989
606,r_peer_stress_count_hi,0.9996,expected_peer_debt_burden,0.9919
606,r_peer_stress_hhi,0.9999,peer_predicted_stress_mean,0.9814
606,r_peer_stress_decayed,0.9982,peer_predicted_stress_mean,0.9995
606,r_peer_stress_velocity,0.6988,peer_dpd_mean_4w,0.4518
606,r_buffer_adequacy,0.9996,cash_buffer_mean_12w,0.9733
606,r_dest_vulnerability,0.9995,cash_buffer_mean_12w,0.9733
606,r_propagation_process,0.9801,peer_predicted_stress_mean,0.897
909,borrower_propagation_exposure,0.9993,peer_predicted_stress_mean,0.8075
909,r_liability_weight,0.6998,amount_due_var_4w,0.0631
909,r_liab_weighted_peer_stress,0.9898,peer_predicted_stress_mean,0.9983
909,r_peer_stress_max,0.9995,peer_predicted_stress_mean,0.9995
909,r_peer_stress_count_hi,0.9999,expected_peer_debt_burden,0.9923
909,r_peer_stress_hhi,1.0,peer_predicted_stress_mean,0.9962
909,r_peer_stress_decayed,0.9988,peer_predicted_stress_mean,0.9988
909,r_peer_stress_velocity,0.7996,peer_dpd_mean_4w,0.4098
909,r_buffer_adequacy,0.9995,cash_buffer_mean_12w,0.9707
909,r_dest_vulnerability,0.9989,cash_buffer_mean_12w,0.9707
909,r_propagation_process,0.9709,peer_predicted_stress_mean,0.9273
